,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cup,dessus_face,0.0,3.5,0.0,0.015
1,cup,dessus_face_droit,0.9199999999999999,10.5,0.042,0.044
2,cup,dessus_profil_droit,6.140000000000001,61.7,0.279,0.26
3,cup,dessus_arriere_droit,6.3,31.7,0.286,0.134
4,cup,dessus_arriere,2.42,4.600000000000001,0.11,0.019
5,cup,face,0.0,2.0,0.0,0.008
6,cup,face_droit,0.23,6.0,0.01,0.025
7,cup,profil_droit,2.5500000000000003,91.0,0.116,0.384
8,cup,arriere_droit,2.46,26.0,0.112,0.11
9,cup,arriere,0.99,0.0,0.045,0.0
