,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-n,dessus_face,7.130000000000001,4.5,0.176,0.02
1,cabinet-n,dessus_face_droit,17.0,11.200000000000001,0.421,0.05
2,cabinet-n,dessus_profil_droit,1.15,1.3,0.028,0.006
3,cabinet-n,dessus_arriere_droit,3.0,0.0,0.074,0.0
4,cabinet-n,dessus_arriere,0.92,0.0,0.023,0.0
5,cabinet-n,face,1.55,97.0,0.038,0.433
6,cabinet-n,face_droit,7.82,80.0,0.194,0.357
7,cabinet-n,profil_droit,0.25,3.0,0.006,0.013
8,cabinet-n,arriere_droit,1.3800000000000001,23.0,0.034,0.103
9,cabinet-n,arriere,0.2,4.0,0.005,0.018
